Data,Carteira Otimizada,S&P 500
2020-01-31,10390.78425236317,9903.346770700084
2020-02-29,9651.103115128239,9119.342163602914
2020-03-31,9044.824081132752,7980.596680239941
2020-04-30,10618.46946782543,8994.003638791351
2020-05-31,11171.830802802362,9422.52279340941
2020-06-30,12149.88552439414,9589.622819400776
2020-07-31,13244.11373599262,10154.380564573265
2020-08-31,15045.261430699189,10863.12130833406
2020-09-30,13679.037992970863,10456.368649315313
2020-10-31,13547.486597684501,10195.653835765144
2020-11-30,14524.338168676622,11304.704437388837
2020-12-31,15170.713856021572,11723.525244752047
2021-01-31,15347.35116920473,11604.0556724884
2021-02-28,15293.360998953163,11926.713519078177
2021-03-31,15670.410433674537,12468.177903261145
2021-04-30,17191.217271224108,13127.872428256172
2021-05-31,16771.944157159563,13214.074070298993
2021-06-30,18002.134591593593,13510.43171150601
2021-07-31,18934.093346767044,13840.257059713866
2021-08-31,20007.4539675024,14252.138681778992
2021-09-30,18588.181757295304,13587.909427731222
2021-10-31,20191.10683478893,14541.287031327209
2021-11-30,20707.99139561591,14424.452270167483
2021-12-31,21252.891623610016,15091.549747985631
2022-01-31,19974.393875137397,14295.60134339688
2022-02-28,18887.91839444273,13873.64016736398
2022-03-31,19733.306281384524,14395.153374545753
2022-04-30,17069.119431682055,13131.705900040231
2022-05-31,16581.597537773763,13161.346250872723
2022-06-30,15263.73270735811,12076.055835571458
2022-07-31,17218.972389055427,13188.109204511256
2022-08-31,16398.93701587763,12650.007389702296
2022-09-30,14436.806734867476,11480.568140699903
2022-10-31,14179.998197007873,12413.656169891769
2022-11-30,14920.357305766553,13103.750401337249
2022-12-31,13533.211415742164,12348.60436553032
2023-01-31,15164.255118324765,13125.175441725794
2023-02-28,15095.952124656196,12795.175798470042
2023-03-31,17239.75287166754,13269.588571952732
2023-04-30,18096.36091092963,13481.571101677177
2023-05-31,19777.72773373763,13543.806665001832
2023-06-30,20774.115048845735,14421.44134869709
2023-07-31,21549.38312636227,14893.50164866804
2023-08-31,21229.0345678223,14651.451694280335
2023-09-30,20120.767693077705,13956.46904733993
2023-10-31,20417.183311789606,13653.494309929189
2023-11-30,22491.982620709172,14900.655899785412
2023-12-31,23095.860059899725,15580.94985704745
